T02,"Population, density and surface area",,,,,
860,Uzbekistan,2010,Population aged 60+ years old (percentage),6.5,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
860,Uzbekistan,2010,Population density,67.3,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
860,Uzbekistan,2015,Population mid-year estimates (millions),30.95,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
860,Uzbekistan,2015,Population mid-year estimates for males (millions),15.48,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
860,Uzbekistan,2015,Population mid-year estimates for females (millions),15.47,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
860,Uzbekistan,2015,Sex ratio (males per 100 females),100.1,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
860,Uzbekistan,2015,Population aged 0 to 14 years old (percentage),28.5,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
860,Uzbekistan,2015,Population aged 60+ years old (percentage),7.1,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
860,Uzbekistan,2015,Population density,72.8,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
860,Uzbekistan,2015,Surface area (thousand km2),449,,"United Nations Statistics Division, New York, ""Demographic Yearbook 2020"" and the demographic statistics database, last accessed June 2022."
860,Uzbekistan,2020,Population mid-year estimates (millions),33.53,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
860,Uzbekistan,2020,Population mid-year estimates for males (millions),16.77,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
860,Uzbekistan,2020,Population mid-year estimates for females (millions),16.76,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
860,Uzbekistan,2020,Sex ratio (males per 100 females),100.1,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
860,Uzbekistan,2020,Population aged 0 to 14 years old (percentage),29.8,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
860,Uzbekistan,2020,Population aged 60+ years old (percentage),8.1,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
860,Uzbekistan,2020,Population density,78.8,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
860,Uzbekistan,2020,Surface area (thousand km2),449,,"United Nations Statistics Division, New York, ""Demographic Yearbook 2020"" and the demographic statistics database, last accessed June 2022."
860,Uzbekistan,2022,Population mid-year estimates (millions),34.63,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
860,Uzbekistan,2022,Population mid-year estimates for males (millions),17.33,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
860,Uzbekistan,2022,Population mid-year estimates for females (millions),17.30,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
860,Uzbekistan,2022,Sex ratio (males per 100 females),100.2,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
860,Uzbekistan,2022,Population aged 0 to 14 years old (percentage),30.2,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
860,Uzbekistan,2022,Population aged 60+ years old (percentage),8.6,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
860,Uzbekistan,2022,Population density,81.4,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
548,Vanuatu,2010,Population mid-year estimates (millions),0.25,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
548,Vanuatu,2010,Population mid-year estimates for males (millions),0.12,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
548,Vanuatu,2010,Population mid-year estimates for females (millions),0.12,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
548,Vanuatu,2010,Sex ratio (males per 100 females),102.1,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
548,Vanuatu,2010,Population aged 0 to 14 years old (percentage),38.9,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
548,Vanuatu,2010,Population aged 60+ years old (percentage),5.5,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
548,Vanuatu,2010,Population density,20.1,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
548,Vanuatu,2015,Population mid-year estimates (millions),0.28,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
548,Vanuatu,2015,Population mid-year estimates for males (millions),0.14,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
548,Vanuatu,2015,Population mid-year estimates for females (millions),0.14,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
548,Vanuatu,2015,Sex ratio (males per 100 females),101.5,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
548,Vanuatu,2015,Population aged 0 to 14 years old (percentage),39.6,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
548,Vanuatu,2015,Population aged 60+ years old (percentage),5.6,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
548,Vanuatu,2015,Population density,22.7,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
548,Vanuatu,2015,Surface area (thousand km2),12,,"United Nations Statistics Division, New York, ""Demographic Yearbook 2020"" and the demographic statistics database, last accessed June 2022."
548,Vanuatu,2020,Population mid-year estimates (millions),0.31,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
548,Vanuatu,2020,Population mid-year estimates for males (millions),0.16,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
548,Vanuatu,2020,Population mid-year estimates for females (millions),0.15,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
548,Vanuatu,2020,Sex ratio (males per 100 females),101.2,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
548,Vanuatu,2020,Population aged 0 to 14 years old (percentage),39.8,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
548,Vanuatu,2020,Population aged 60+ years old (percentage),5.7,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
548,Vanuatu,2020,Population density,25.6,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
548,Vanuatu,2020,Surface area (thousand km2),12,,"United Nations Statistics Division, New York, ""Demographic Yearbook 2020"" and the demographic statistics database, last accessed June 2022."
548,Vanuatu,2022,Population mid-year estimates (millions),0.33,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
548,Vanuatu,2022,Population mid-year estimates for males (millions),0.16,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
548,Vanuatu,2022,Population mid-year estimates for females (millions),0.16,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
548,Vanuatu,2022,Sex ratio (males per 100 females),101.2,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
548,Vanuatu,2022,Population aged 0 to 14 years old (percentage),39.4,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
548,Vanuatu,2022,Population aged 60+ years old (percentage),5.8,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
548,Vanuatu,2022,Population density,26.8,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
862,Venezuela (Boliv. Rep. of),2010,Population mid-year estimates (millions),28.72,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
862,Venezuela (Boliv. Rep. of),2010,Population mid-year estimates for males (millions),14.32,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
862,Venezuela (Boliv. Rep. of),2010,Population mid-year estimates for females (millions),14.39,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
862,Venezuela (Boliv. Rep. of),2010,Sex ratio (males per 100 females),99.5,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
862,Venezuela (Boliv. Rep. of),2010,Population aged 0 to 14 years old (percentage),30.0,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
862,Venezuela (Boliv. Rep. of),2010,Population aged 60+ years old (percentage),8.5,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
862,Venezuela (Boliv. Rep. of),2010,Population density,31.3,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
862,Venezuela (Boliv. Rep. of),2015,Population mid-year estimates (millions),30.53,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
862,Venezuela (Boliv. Rep. of),2015,Population mid-year estimates for males (millions),15.19,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
862,Venezuela (Boliv. Rep. of),2015,Population mid-year estimates for females (millions),15.34,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
862,Venezuela (Boliv. Rep. of),2015,Sex ratio (males per 100 females),99.0,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
862,Venezuela (Boliv. Rep. of),2015,Population aged 0 to 14 years old (percentage),28.5,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
862,Venezuela (Boliv. Rep. of),2015,Population aged 60+ years old (percentage),9.7,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
862,Venezuela (Boliv. Rep. of),2015,Population density,33.3,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
862,Venezuela (Boliv. Rep. of),2015,Surface area (thousand km2),912,,"United Nations Statistics Division, New York, ""Demographic Yearbook 2020"" and the demographic statistics database, last accessed June 2022."
862,Venezuela (Boliv. Rep. of),2020,Population mid-year estimates (millions),28.49,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
862,Venezuela (Boliv. Rep. of),2020,Population mid-year estimates for males (millions),14.11,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
862,Venezuela (Boliv. Rep. of),2020,Population mid-year estimates for females (millions),14.38,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
862,Venezuela (Boliv. Rep. of),2020,Sex ratio (males per 100 females),98.2,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
862,Venezuela (Boliv. Rep. of),2020,Population aged 0 to 14 years old (percentage),28.5,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
862,Venezuela (Boliv. Rep. of),2020,Population aged 60+ years old (percentage),12.1,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
862,Venezuela (Boliv. Rep. of),2020,Population density,31.1,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
862,Venezuela (Boliv. Rep. of),2020,Surface area (thousand km2),930,,"United Nations Statistics Division, New York, ""Demographic Yearbook 2020"" and the demographic statistics database, last accessed June 2022."
862,Venezuela (Boliv. Rep. of),2022,Population mid-year estimates (millions),28.30,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
862,Venezuela (Boliv. Rep. of),2022,Population mid-year estimates for males (millions),14.00,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
862,Venezuela (Boliv. Rep. of),2022,Population mid-year estimates for females (millions),14.30,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
862,Venezuela (Boliv. Rep. of),2022,Sex ratio (males per 100 females),97.8,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
862,Venezuela (Boliv. Rep. of),2022,Population aged 0 to 14 years old (percentage),27.6,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
862,Venezuela (Boliv. Rep. of),2022,Population aged 60+ years old (percentage),12.9,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
862,Venezuela (Boliv. Rep. of),2022,Population density,30.9,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
704,Viet Nam,2010,Population mid-year estimates (millions),87.41,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
704,Viet Nam,2010,Population mid-year estimates for males (millions),43.05,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
704,Viet Nam,2010,Population mid-year estimates for females (millions),44.36,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
704,Viet Nam,2010,Sex ratio (males per 100 females),97.0,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
704,Viet Nam,2010,Population aged 0 to 14 years old (percentage),24.3,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
704,Viet Nam,2010,Population aged 60+ years old (percentage),9.3,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
704,Viet Nam,2010,Population density,278.9,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
704,Viet Nam,2015,Population mid-year estimates (millions),92.19,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
704,Viet Nam,2015,Population mid-year estimates for males (millions),45.48,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
704,Viet Nam,2015,Population mid-year estimates for females (millions),46.71,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
704,Viet Nam,2015,Sex ratio (males per 100 females),97.4,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
704,Viet Nam,2015,Population aged 0 to 14 years old (percentage),23.4,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
704,Viet Nam,2015,Population aged 60+ years old (percentage),10.9,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
704,Viet Nam,2015,Population density,294.2,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
704,Viet Nam,2015,Surface area (thousand km2),331,,"United Nations Statistics Division, New York, ""Demographic Yearbook 2020"" and the demographic statistics database, last accessed June 2022."
704,Viet Nam,2020,Population mid-year estimates (millions),96.65,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
704,Viet Nam,2020,Population mid-year estimates for males (millions),47.73,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
704,Viet Nam,2020,Population mid-year estimates for females (millions),48.92,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
704,Viet Nam,2020,Sex ratio (males per 100 females),97.6,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
704,Viet Nam,2020,Population aged 0 to 14 years old (percentage),22.7,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
704,Viet Nam,2020,Population aged 60+ years old (percentage),13.1,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
704,Viet Nam,2020,Population density,308.4,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
704,Viet Nam,2020,Surface area (thousand km2),331,,"United Nations Statistics Division, New York, ""Demographic Yearbook 2020"" and the demographic statistics database, last accessed June 2022."
704,Viet Nam,2022,Population mid-year estimates (millions),98.19,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
704,Viet Nam,2022,Population mid-year estimates for males (millions),48.50,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
704,Viet Nam,2022,Population mid-year estimates for females (millions),49.69,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
704,Viet Nam,2022,Sex ratio (males per 100 females),97.6,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
704,Viet Nam,2022,Population aged 0 to 14 years old (percentage),22.4,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
704,Viet Nam,2022,Population aged 60+ years old (percentage),13.8,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
704,Viet Nam,2022,Population density,313.3,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
876,Wallis and Futuna Islands,2010,Population mid-year estimates (millions),0.01,"For statistical purposes, the data for France do not include this area.","United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
876,Wallis and Futuna Islands,2010,Population mid-year estimates for males (millions),0.01,"For statistical purposes, the data for France do not include this area.","United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
876,Wallis and Futuna Islands,2010,Population mid-year estimates for females (millions),0.01,"For statistical purposes, the data for France do not include this area.","United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
876,Wallis and Futuna Islands,2010,Sex ratio (males per 100 females),96.9,"For statistical purposes, the data for France do not include this area.","United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
876,Wallis and Futuna Islands,2010,Population aged 0 to 14 years old (percentage),28.9,"For statistical purposes, the data for France do not include this area.","United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
876,Wallis and Futuna Islands,2010,Population aged 60+ years old (percentage),12.7,"For statistical purposes, the data for France do not include this area.","United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
876,Wallis and Futuna Islands,2010,Population density,93.9,"For statistical purposes, the data for France do not include this area.","United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
876,Wallis and Futuna Islands,2015,Population mid-year estimates (millions),0.01,"For statistical purposes, the data for France do not include this area.","United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
876,Wallis and Futuna Islands,2015,Population mid-year estimates for males (millions),0.01,"For statistical purposes, the data for France do not include this area.","United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
876,Wallis and Futuna Islands,2015,Population mid-year estimates for females (millions),0.01,"For statistical purposes, the data for France do not include this area.","United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
876,Wallis and Futuna Islands,2015,Sex ratio (males per 100 females),94.0,"For statistical purposes, the data for France do not include this area.","United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
876,Wallis and Futuna Islands,2015,Population aged 0 to 14 years old (percentage),26.7,"For statistical purposes, the data for France do not include this area.","United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
876,Wallis and Futuna Islands,2015,Population aged 60+ years old (percentage),15.4,"For statistical purposes, the data for France do not include this area.","United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
876,Wallis and Futuna Islands,2015,Population density,87.0,"For statistical purposes, the data for France do not include this area.","United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
876,Wallis and Futuna Islands,2015,Surface area (thousand km2),0,,"United Nations Statistics Division, New York, ""Demographic Yearbook 2020"" and the demographic statistics database, last accessed June 2022."
876,Wallis and Futuna Islands,2020,Population mid-year estimates (millions),0.01,"For statistical purposes, the data for France do not include this area.","United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
876,Wallis and Futuna Islands,2020,Population mid-year estimates for males (millions),0.01,"For statistical purposes, the data for France do not include this area.","United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
876,Wallis and Futuna Islands,2020,Population mid-year estimates for females (millions),0.01,"For statistical purposes, the data for France do not include this area.","United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
876,Wallis and Futuna Islands,2020,Sex ratio (males per 100 females),93.0,"For statistical purposes, the data for France do not include this area.","United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
